depth,p,n,real,b,ivn_max,ir2_max,a_at_max
4,0.02,12,33,6,0.011354873962109657,0.0017527709649076684,1
4,0.02,12,33,7,0.0008718021827469613,4.373583435413053e-05,2
4,0.02,12,33,8,9.837856841166115e-05,5.381797585357617e-07,1
4,0.02,12,33,9,1.0927024257867402e-05,3.280541349681698e-08,2
4,0.02,12,33,10,1.0970511006291872e-06,3.255919978073507e-10,1
4,0.02,12,34,1,3.0584031916736008,3.788848767416809,8
4,0.02,12,34,2,2.3999711804792314,2.908557859693711,8
4,0.02,12,34,3,0.8724923922136592,1.0325600147781389,7
4,0.02,12,34,4,0.09809147680941255,0.05027707411854898,6
4,0.02,12,34,5,0.03405958643374074,0.02088163127560705,1
4,0.02,12,34,6,0.003114865178754478,0.0003772539405471065,1
4,0.02,12,34,7,0.000843855465640253,1.1617875522951238e-05,3
4,0.02,12,34,8,0.00010187649555870593,6.854747791606997e-07,1
4,0.02,12,34,9,4.601648046698159e-05,1.3122230413387115e-07,1
4,0.02,12,34,10,1.3240348435417104e-06,2.657927211657807e-10,1
4,0.02,12,35,1,3.3282170131036084,4.030641135190443,2
4,0.02,12,35,2,1.8128358431139882,2.084649005400112,9
4,0.02,12,35,3,0.8700219529244713,0.9973644732771012,2
4,0.02,12,35,4,0.0902173061023861,0.052249130084907947,2
4,0.02,12,35,5,0.015151705332716148,0.0010426062410129333,2
4,0.02,12,35,6,0.0017471584864194867,2.078142948125361e-05,1
4,0.02,12,35,7,2.6645352591003757e-15,-5.329070518200751e-15,2
4,0.02,12,35,8,4.440892098500626e-15,-1.7763568394002505e-15,1
4,0.02,12,35,9,2.6645352591003757e-15,0.0,1
4,0.02,12,35,10,2.6645352591003757e-15,0.0,1
4,0.02,12,36,1,3.118474394077417,3.7870282485945435,2
4,0.02,12,36,2,1.7093904454026312,2.0537702140850946,3
4,0.02,12,36,3,0.9746463574358906,1.1020966223136677,2
4,0.02,12,36,4,0.07419237172942061,0.01512424743528662,1
4,0.02,12,36,5,0.018952947343169768,0.001893239487769982,5
4,0.02,12,36,6,0.0021847221140038897,6.585911366130404e-05,3
4,0.02,12,36,7,0.00043125525674625464,4.010751815108904e-06,3
4,0.02,12,36,8,6.973517821329267e-05,2.3414439276336907e-07,2
4,0.02,12,36,9,1.200844575421911e-05,6.151861242642553e-09,1
4,0.02,12,36,10,8.920736629391968e-07,6.725464629653288e-11,1
4,0.02,12,37,1,3.058809346385897,3.8341629735812397,3
4,0.02,12,37,2,1.8283241803373764,2.1573240110563496,2
4,0.02,12,37,3,0.3123423506043972,0.25185938093391425,1
4,0.02,12,37,4,0.05529478289851486,0.02089794570969339,6
4,0.02,12,37,5,0.009330879926774394,0.00037967501878810594,5
4,0.02,12,37,6,0.008600584636411668,0.0003185060751569324,4
4,0.02,12,37,7,0.0006009192321707602,1.0085537430981617e-05,3
4,0.02,12,37,8,0.00023722160882311272,7.162008337502357e-07,2
4,0.02,12,37,9,1.584408342214516e-05,1.3984930546939722e-08,1
4,0.02,12,37,10,6.172284310324017e-07,3.246292124003958e-11,1
4,0.02,12,38,1,2.2994520416613664,2.8805816292568185,6
4,0.02,12,38,2,1.5878330532811464,1.9346441937126624,3
4,0.02,12,38,3,0.8091335274325688,0.9785673564300499,3
4,0.02,12,38,4,0.11797897814455016,0.09419699159316863,3
4,0.02,12,38,5,0.008931655474304634,0.0010040952433065797,1
4,0.02,12,38,6,0.005374014000789629,0.0005845904603951624,1
4,0.02,12,38,7,0.00028277765975115443,1.2528683974721844e-06,1
4,0.02,12,38,8,6.879646305169018e-05,1.9458558320195607e-07,1
4,0.02,12,38,9,2.636004960976379e-06,9.736442763141895e-10,2
4,0.02,12,38,10,2.1014333260183093e-06,8.097078563196192e-10,1
4,0.02,12,39,1,2.4351280985375334,2.951143004717636,5
4,0.02,12,39,2,1.0771080041186005,1.188550656926198,6
4,0.02,12,39,3,0.1619418129781769,0.14065153742649894,7
4,0.02,12,39,4,0.06623850798939301,0.04127174327353966,6
4,0.02,12,39,5,0.012982955044235744,0.0007264713366783582,5
4,0.02,12,39,6,0.0014416048264278558,2.6336156582651427e-05,4
4,0.02,12,39,7,3.8494068513195145e-05,7.228364928835163e-08,4
4,0.02,12,39,8,1.7763568394002505e-15,1.7763568394002505e-15,1
4,0.02,12,39,9,4.440892098500626e-15,1.7763568394002505e-15,2
4,0.02,12,39,10,8.881784197001252e-16,1.7763568394002505e-15,1
4,0.02,12,40,1,3.790943165973337,4.704220263847583,2
4,0.02,12,40,2,1.737738191058673,2.037805611310561,5
4,0.02,12,40,3,0.8852016338790811,0.9994519574044776,5
4,0.02,12,40,4,0.0975329121748505,0.07683780959037811,3
4,0.02,12,40,5,0.03006886138767939,0.005659269667438238,2
4,0.02,12,40,6,0.0025065670120572037,8.723546001476734e-05,1
4,0.02,12,40,7,0.0003448472448255302,4.376067763267599e-06,2
4,0.02,12,40,8,0.0001899199316408584,5.616840415001434e-07,3
4,0.02,12,40,9,1.75430986981695e-05,2.858573289188371e-08,2
4,0.02,12,40,10,2.2047640992894912e-06,5.327951413391929e-10,1
